9,DeleteVariable,1536659794688390,1536659794688400
9,KVStoreDistDefaultPush,1536659794689243,1536659794690338
9,WaitForVar,1536659794690396,1536659794690421
9,DeleteVariable,1536659794690660,1536659794690691
9,KVStoreDistDefaultStoragePull,1536659794690536,1536659794691479
9,KVStoreDistDefaultPush,1536659794691407,1536659794691615
9,WaitForVar,1536659794691639,1536659794691656
9,KVStoreDistDefaultStoragePull,1536659794691722,1536659794691865
9,KVStoreDistDefaultPush,1536659794692533,1536659794692735
9,WaitForVar,1536659794692761,1536659794692788
9,CopyCPU2GPU,1536659794691882,1536659794692876
9,KVStoreDistDefaultStoragePull,1536659794692854,1536659794693055
9,KVStoreDistDefaultPush,1536659794692930,1536659794693067
9,WaitForVar,1536659794693080,1536659794693095
9,KVStoreDistDefaultStoragePull,1536659794693156,1536659794693282
9,KVStoreDistDefaultPush,1536659794693941,1536659794694092
9,WaitForVar,1536659794694114,1536659794694135
9,KVStoreDistDefaultStoragePull,1536659794694200,1536659794694347
9,KVStoreDistDefaultPush,1536659794694300,1536659794694449
9,WaitForVar,1536659794694474,1536659794694495
9,KVStoreDistDefaultStoragePull,1536659794694556,1536659794694703
9,CopyCPU2GPU,1536659794693300,1536659794695139
9,DeleteVariable,1536659794695162,1536659794695175
9,CopyCPU2GPU,1536659794695156,1536659794697388
9,DeleteVariable,1536659794697411,1536659794697419
9,CopyCPU2GPU,1536659794697430,1536659794697505
9,DeleteVariable,1536659794697634,1536659794697641
9,CopyCPU2GPU,1536659794697650,1536659794699635
9,[Flatten],1536659794697549,1536659794699636
9,DeleteVariable,1536659794699663,1536659794699672
9,CopyCPU2GPU,1536659794699646,1536659794699743
9,CopyCPU2GPU,1536659794699758,1536659794701896
9,CopyCPU2GPU,1536659794699682,1536659794701901
9,[FullyConnected Activation],1536659794699785,1536659794701922
9,[FullyConnected Activation],1536659794701949,1536659794704180
9,[FullyConnected],1536659794704200,1536659794706427
9,[SoftmaxOutput],1536659794706452,1536659794708676
9,argmax,1536659794708720,1536659794710922
9,[_backward_SoftmaxOutput],1536659794708693,1536659794710922
9,SyncCopyGPU2CPU,1536659794710975,1536659794711025
9,WaitForVar,1536659794711049,1536659794711064
9,DeleteVariable,1536659794711141,1536659794711151
9,CopyGPU2CPU,1536659794713195,1536659794713228
9,CopyGPU2CPU,1536659794713221,1536659794713270
9,KVStoreDistDefaultPush,1536659794713248,1536659794713994
